id,phone_number,address
03956830X2,0395683437,"49 ATKINSON ST OS SHOPS, CHADSTONE"
02998131X2,0299812254,"20 AUBREEN ST CNR TELOPEA ST, COLLAROY"
08938820X2,0893887297,"374 BAGOT RD NR DOUGLAS AVE, SUBIACO"
08938814X2,0893887897,"374 BAGOT RD NR DOUGLAS AVE, SUBIACO"
08931642X2,0893642294,"33 ARDROSS ST NR KINTAIL RD, APPLECROSS"
08808703X2,0880871310,"231 ARGENT ST NR SULPHIDE ST, BROKEN HILL"
07553155X2,0755315691,"31 AUBREY ST NR GOLD COAST HWY, SURFERS PARADISE"
02964312X2,0296438765,"70 AUBURN RD O/S PUBLIC SCHOOL, AUBURN"
02964900X2,0296497058,"41 AUBURN RD O/S AUBURN VILLAGE, AUBURN"
02482225X2,0248221792,"288 AUBURN ST OS EMPIRE HOTEL, GOULBURN"
03981904X2,0398191223,"168 AUBURN RD , HAWTHORN"
02696441X2,0269644605,"457 BANNA AVE , GRIFFITH"
03623435X2,0362346037,"346 ARGYLE ST CNR YARDLEY ST, NORTH HOBART"
03988223X2,0398823890,"65 AUBURN RD , HAWTHORN"
07559181X2,0755918579,"1 BAKER AVE NR FRANK ST, LABRADOR"
08945500X2,0894552082,"280 BANNISTER RD MARKET CITY, CANNING VALE"
07416812Y2,0741681019,"1 BARAMBAH AVE NR FISHER ST, CHERBOURG"
02697820X2,0269782200,"0 ARIAH ST LIONS PARK, ARDLETHAN"
08924709X2,0893435316,"4 ARISTOS WAY NR MIRRABOOKA AVE, MARANGAROO"
08934415X2,0893444018,"206 ARKANA RD NR MAJELLA RD, WESTMINSTER"
07403305X2,0740332075,"18 BALACLAVA RD O/S SCHOOL, EARLVILLE"
08925700X2,0892930425,"14 BARBER ST NR HAYNES ST, KALAMUNDA"
03523103X2,0352312513,"75 ARMSTRONG ST NR NELSON ST, COLAC"
07320007X1,0732002736,"2 ARMSTRONG RD NEW ENTRANCE, MEADOWBROOK"
07320006X1,0732002735,"2 ARMSTRONG RD NEW ENTRANCE, MEADOWBROOK"
07405131X2,0740518637,"128 AUMULLER ST CNR SPENCE ST, BUNGALOW"
07404155X7,0740415909,"164 AUMULLER ST OS AUST POST, BUNGALOW"
02983513X2,0298352321,"157 AURORA DRV OPP BALLENY DRIVE, TREGEAR"
02962803X2,0296285193,"157 AURORA DRV OPP BALLENY DRIVE, TREGEAR"
02985824X2,0298584598,"2 BALACLAVA RD OPP 9A NR VIMERA, EASTWOOD"
02675370X2,0267537309,"62 BALARANG ST OS POST OFFICE, WEEMELAH"
02684724X2,0268472205,"13 BARDON ST NR WARREN RD, GILGANDRA"
03950910X2,0395091966,"66 ARMADALE ST CNR OF CHEEL ST, PRAHRAN"
02664930X2,0266493248,"9 ARMIDALE RD OS POST OFFICE/BP, COUTTS CROSSING"
02676632X2,0267669931,"513 ARMIDALE RD IN REST AREA, TAMWORTH"
07553831X2,0755386383,"17 ARMRICK AVE CNR SURF PDE, BROADBEACH"
03958906X2,0395896023,"349 BALCOMBE RD OS SHOPS, BEAUMARIS"
03958907X2,0395896025,"465 BALCOMBE RD NR GRANDVIEW AVE, BEAUMARIS"
02939817X2,0293983044,"127 BARKER ST NR BOTANY ST, RANDWICK"
08938835X2,0893889615,"29 BARKER RD IN WANDANA FLATS, SUBIACO"
03981928X2,0398192381,"140 BARKERS RD , HAWTHORN"
08924618X2,0892464471,"57 ARNISDALE RD OS GLENGARRY HOSP, DUNCRAIG"
03989915X2,0398990277,"2 ARNOLD ST O/S BOX HILL HOSP, BOX HILL"
08893217X2,0889325641,"32 BALDWIN DRV O/S SHOPS, WOODROFFE"
02602981X2,0260298400,"33 BALFOUR ST OS POST OFFICE, CULCAIRN"
03985304X2,0398532037,"83 BARKERS RD BEEHIVE HOTEL OPP, KEW"
03535209X2,0353521361,"143 BARKLY ST NR COLES LANE, ARARAT"
03535203X2,0353521656,"93 BARKLY ST POST OFFICE, ARARAT"
03535202X2,0353521478,"201 BARKLY ST TOWN HALL SQUARE, ARARAT"
02664923X2,0266492336,"46 ARRAWARRA BH RD BH HOLIDAY PK, ARRAWARRA"
02971614X2,0297166409,"47 ARTHUR ST OS PRATTEN PARK, ASHFIELD"
03979122X2,0397912274,"19 AUTUMN PL , DOVETON"
03979195X2,0397912759,"17 AUTUMN PL , DOVETON"
03522222X2,0352223914,"327 AUTUMN ST OS MINERVA PO, NEWTOWN"
08836220X2,0883623543,"2 BALIOL ST NEAR, COLLEGE PARK"
03934727X2,0393475271,"166 BARKLY ST NEAR CNR RATHDOWNE ST, CARLTON"
03552307X2,0355231948,"36 BARKLY ST OS SHOPPING CNTR, PORTLAND"
03625023X2,0362502302,"6965 ARTHUR HWY OS CEMETARY, PORT ARTHUR"
02936138X2,0293610435,"70 ARTHUR ST NR BOURKE ST, SURRY HILLS"
03625030X2,0362503206,"5931 ARTHUR HWY OS SERV STN, TARANNA"
03931190X2,0393118520,"290 BALLARAT RD NR ERROL ST, BRAYBROOK"
03936315X2,0393633851,"908 BALLARAT RD NR RAVENSLEA CRES, DEER PARK"
03968709X2,0396896142,"LVL 1 96 BALLARAT RD VIC UNI BLDG E OS, FOOTSCRAY"
03931828X2,0393183037,"204 BALLARAT RD CNR GORDON ST, FOOTSCRAY"
03931708X2,0393173056,"130 BALLARAT RD CNR SHORT ST, MAIDSTONE"
07498621X9,0749861736,"60 ARTHUR ST CNR, BLACKWATER"
03625031X2,0362503208,"5119 ARTHUR HWY , EAGLEHAWK NECK"
03936956X2,0393691484,"5 AVIATION RD NR RAILWAY AVE, LAVERTON"
02438104X2,0243811262,"179 AVOCA DRV , AVOCA BEACH"
02438109X2,0243811279,"1 AVOCA DRV OS SURF CLUB, AVOCA BEACH"
02436521X2,0243652012,"100 AVOCA DRV CNR MILPERRA RD, GREEN POINT"
02436302X2,0243631814,"120 AVOCA DRV OS FROST RESERVE, KINCUMBER"
03645701X2,0364571233,"1402 ARTHUR RIVER RD , ARTHUR RIVER"
02983807X2,0298388552,"22 ARTILLERY CRS NR COLLINS ST, SEVEN HILLS"
03937612X2,0393761502,"44 ASCOT ST NR EPSOM, ASCOT VALE"
02939816X2,0293982975,"208 AVOCA ST NR DELMORE ST, RANDWICK"
02939804X2,0293986765,"208 AVOCA ST NR BELMORE ST, RANDWICK"
02998109X2,0299811432,"1 AVON RD NR PACIFIC PDE, DEE WHY"
03599880X2,0359988403,"2405 BALLARTO RD OS SCHOOL, CARDINIA"
08835608X2,0883565565,"8 BALLATER AVE OPP SELKIRK ST, SEATON"
02668770X2,0266877200,"73 BALLINA ST ROSS PARK, LENNOX HEAD"
03627203X2,0362724019,"51 BAROSSA RD , GLENORCHY"
08852440X2,0885244210,"27 BAROSSA VALLEY HWY POST OFFICE, LYNDOCH"
03623460X2,0362348059,"24 BARRACK ST , HOBART"
07320910X2,0732099085,"10 ASCOT DRV NEAR CLARK RD, LOGANHOLME"
07552413X2,0755247230,"45 ASH DRV OUTSIDE SHOPS, BANORA POINT"
03525003X2,0352502309,"29 ASH RD POST OFFICE, LEOPOLD"
02692138X2,0269219237,"160 BAYLIS ST OS MILTON GEAR, WAGGA WAGGA SOUTH"
07412511X2,0741255560,"74 BIDEFORD ST OPP CNR BOAT HARB*, TORQUAY"
02649421X2,0264942009,"8 BIG JACK MOUNTAIN RD OP  PUBLIC HALL, ROCKY HALL"
03936408X2,0393641493,"47 BELMONT AVE NR GOODWOOD DVE, KEILOR DOWNS"
08945918X2,0894595200,"73 BELMONT RD OS KENWICK VILL, KENWICK"
03981607X2,0398163426,"346 BELMORE RD , BALWYN"
07477511X2,0747755837,"315 BAYSWATER RD OS HOTEL, GARBUTT"
03936626X2,0393662166,"134 BIGGS ST NR MILLAWA ST, ST ALBANS"
08927212X2,0892722766,"1002 BEAUFORT ST NR SALISBURY ST, BEDFORD"
08927103X2,0892717255,"751 BEAUFORT ST NR SECOND AVE, MT LAWLEY"
02963007X2,0296305654,"41 BELMORE ST NR CHARLES ST, OATLANDS"
02953409X2,0295344221,"63 BELMORE RD NR MAJOR ST, PUNCHBOWL"
02472203X1,0247321395,"1 BELMORE ST OS PENRITH RWY STN, PENRITH"
02958416X2,0295841746,"198 BELMORE RD NR CAIRNS ST, RIVERWOOD"
03574400X2,0357441595,"106 BELMORE ST NR ORR, YARRAWONGA"
07552730X1,0755273621,"2 BELTANA WAY CNR MCLAREN RD, NERANG"
08884740X2,0888474150,"13 BELVIDERE RD BRIDLE ST, SADDLEWORTH"
02664302Y2,0266431391,"0 BIMBLE AVE , SOUTH GRAFTON"
08922711X2,0892271487,"222 BEAUFORT ST NR MONGER ST, PERTH"
03643521X2,0364352938,"26 BEAUFORT ST CNR LYONS ST, SOMERSET"
02496900X2,0249698013,"58 BEAUMONT ST , HAMILTON"
02676936X2,0267693687,"0 BARRY STATION RD OS GOLD MINER PARK, HANGING ROCK"
07320408X2,0732042987,"8 BAYVIEW TCE NR SUMMER ST, DECEPTION BAY"
03987021X2,0398709724,"93 BEDFORD RD , RINGWOOD EAST"
03572790X2,0357279210,"13 BARTLEY ST OS POST OFFICE, MOYHU"
03632601X1,0363267075,"11 BARTON ST IN BARTON LODGE, MOWBRAY"
02622756X2,0262275643,"LOT 2 0 BARTON HWY ADJ PARK, MURRUMBATEMAN"
08902151X7,0890215805,"12 BARTON ST , WILLIAMSTOWN"
08937813X2,0893786435,"81 BENARA RD OS PERTH HOLIDAY P, CAVERSHAM"
02989805X2,0298983794,"2 BENAUD PL O/S PETROL STATION, TELOPEA"
