 , SUB_ADDR_TYP_CDE, SUB_ADDR_NR, ADD_ADDR_INFO, STREET_NR, STREET_NME, STREET_TYP_CDE, LOCALITY_NAME, STATE,Indigineous Sites, POST_CDE, ABS_AREA, SITE_LAT, SITE_LONGIT, payphones_at_site, NEAREST_PAYPHONE, DRV_PRIME_PROD_CDE, tty    ,  
02428509X1,,,TOWRADGI RLWY STN,1,TOWRADGI,RD,TOWRADGI,NSW,,2518,Towradgi,-34.383848,150.901459,1,02428545X2 .167 km,MPP1,,
02428509X2,,,ADJ LANE WAY,379,PRINCES,HWY,WOONONA,NSW,,2517,Woonona,-34.341276,150.906617,1,02428508X2 .956 km,MPP1W,,
02428512X2,,,NR CALDWELL AVE,83,MEADOW,ST,TARRAWANNA,NSW,,2518,Tarrawanna,-34.38175,150.8879,1,02428507X1 1.156 km,MPP1W,,
02428524X2,,,CRN BALGOWNIE RD,1,KEMBLA,ST,BALGOWNIE,NSW,,2519,Balgownie,-34.38879,150.877568,1,02428512X2 1.229 km,MPP1W,,
02428530X2,,,IN MEMORIAL PK,226,PRINCES,HWY,CORRIMAL,NSW,,2518,Corrimal,-34.372031,150.897356,1,02428301X2 .05 km,MPP1,,
02428536X2,,,OS SHOPS,19,MURRAY,RD,EAST CORRIMAL,NSW,,2518,East Corrimal,-34.376687,150.91298,1,02428508X1 .727 km,MPP1W,,
02428537X2,,,NR 17 PRINCES HWY,0,CAMBRIDGE,AVE,FAIRY MEADOW,NSW,,2519,Fairy Meadow,-34.391942,150.893043,1,02428300X2 .162 km,MPP1W,,
02428544X2,,,OPP POST OFFICE,5,THE CIRCLE,,WOONONA,NSW,,2517,Woonona,-34.34929,150.91431,1,02428509X2 1.137 km,MPP1W,,
02428545X2,,,O/S STORE,2,CARTERS,LA,TOWRADGI,NSW,,2518,Towradgi,-34.38414,150.903252,1,02428509X1 .167 km,MPP1W,,
02428547X2,,,BELLAMBI R/S,1,BELLAMBI,LA,BELLAMBI,NSW,,2518,Bellambi,-34.362751,150.910081,1,02428502Y2 1.135 km,MPP1W,,
02428548X2,,,FAIRY MEADOW RWS,0,MONTAGUE,ST,FAIRY MEADOW,NSW,,2519,Fairy Meadow,-34.395463,150.896415,1,02428300X2 .395 km,MPP1W,,
02428549X2,LOT,100,BULLI RAILWAY STAT,0,FRANKLIN,AVE,BULLI,NSW,,2516,Bulli,-34.334355,150.914965,1,02428508X2 .149 km,MPP1,,
02429400X1,PLTFRM,2,RAILWAY STATION,0,WILSON CREEK,RD,HELENSBURGH,NSW,,2508,Helensburgh,-34.176959,150.994778,1,02429400X2 1.948 km,MPP1,,
02429400X2,,,OS POST OFFICE,114,PARK,ST,HELENSBURGH,NSW,,2508,Helensburgh,-34.1907,150.98164,1,02429400X1 1.948 km,MPP1,,
02429401X1,,,RAILWAY STN,38,RAILWAY,CRS,STANWELL PARK,NSW,,2508,Stanwell Park,-34.226179,150.98134,1,02429401X2 .298 km,MPP1W,,
02429401X2,,,OPP STATION ST,0,LAWRENCE HARGRAVE,DRV,STANWELL PARK,NSW,,2508,Stanwell Park,-34.22812,150.98358,1,02429401X1 .298 km,MPP1W,,
02429411X2,,,LOWER COALCLIFF,28,PATERSON,RD,COALCLIFF,NSW,,2508,Coalcliff,-34.245805,150.97611,1,02429414X2 .415 km,MPP1W,,
02429413X2,,,RAILWAY STATION,0,LADY CARRINGTON,RD,OTFORD,NSW,,2508,Otford,-34.21067,151.00581,1,02429401X2 2.818 km,MPP1W,,
02429414X2,,,RAILWAY STATION,222,LAWRENCE HARGRAVE,DRV,COALCLIFF,NSW,,2508,Coalcliff,-34.242217,150.977357,1,02429411X2 .415 km,MPP1W,,
02429500X1,,,SHELLHARBOUR HOSPI,15,MADIGAN,BLV,OAK FLATS,NSW,,2529,Oak Flats,-34.559111,150.84136,1,02429602X1 .042 km,MPP1,,
02429503X1,,,STOCKLAND SHELLHAR,211,LAKE ENTRANCE,RD,SHELLHARBOUR CITY CENTRE,NSW,,2529,Shellharbour City Centre,-34.565431,150.839809,1,02429602X1 .676 km,MPP1,,
